"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"1237";"Scandinavian Investment";"Danmark";"SIG";"Finans & Fastighet";"252,8";"14,5";"1,3";"0,21";"0,9";"28,8";"23,3";"-43,1";"6,0%";"4,3%";"100,0%";"81,1%";"97,5%";;"3,6";"0,8%";"11,4";"4,1%";"9,9%";"11,9%"
"2306";"Scandinavian Medical";"Danmark";"SMSMED";"Hälsovård";"138,6";"32,5";"-0,7";"0,30";"1,1";"24,5";"0,6";"-6,6";"3,5%";"2,5%";"10,8%";"2,3%";"1,1%";"6";"1,7";"30,7%";"3,6";"-25,5%";"-17,1%";"-38,0%"
"458";"Scandinavian Real Heart";"Sverige";"HEART";"Hälsovård";"114,7";"-1,7";;"-0,04";"1,0";"-1,3";;"-1,4";"-56,8%";"-72,7%";;;;"2";"2,5";"-100,0%";;"-5,9%";"-31,1%";"-3,6%"
"1345";"Scandinavian Tobacco";"Danmark";"STG";"Dagligvaror";"8021,1";"7,8";"-0,3";"0,27";"0,6";"9,4";"1,2";"9,0";"7,8%";"5,0%";"44,3%";"12,6%";"7,4%";"6";"2,0";"1,0%";"3,4";"-30,4%";"-25,7%";"-36,0%"
"841";"Scanfil";"Finland";"SCANFL";"Informationsteknik";"8588,6";"18,6";"3,1";"0,34";"2,4";"14,2";"1,0";"20,6";"13,0%";"13,7%";;"6,8%";"5,1%";"6";"2,0";"-1,9%";"0,1";"19,1%";"10,4%";"26,2%"
"1108";"Scatec";"Norge";"SCATC";"Kraftförsörjning";"19403,4";"17,9";"-0,9";"0,52";"1,5";"15,6";"12,2";"-65,2";"8,6%";"2,8%";"130,0%";"78,4%";"28,8%";"4";"1,1";"6,5%";"6,4";"12,4%";"18,0%";"47,2%"
"1203";"Schouw & Co.";"Danmark";"SCHO";"Industri";"23103,0";"21,5";"-0,7";"0,47";"1,3";"13,0";"0,6";"6,2";"5,5%";"3,9%";"30,7%";"4,2%";"1,9%";"6";"1,7";"1,5%";"1,5";"-4,2%";"1,3%";"-5,4%"
"762";"Scibase";"Sverige";"SCIB";"Hälsovård";"344,6";"-1,4";;"0,38";"21,0";"-1,4";"2,9";"-1,6";"-1308,0%";"-1896,0%";"67,0%";"-213,6%";"-215,2%";"1";"1,9";"31,3%";;"-8,4%";"-10,1%";"-19,8%"
"1571";"Scout Gaming";"Sverige";"SCOUT";"Sällanköpsvaror";"28,1";"-2,8";;"0,46";"1,7";"-0,6";"0,1";"-2,2";"-60,0%";;"40,0%";"-17,6%";"-24,5%";"2";"1,8";"16,8%";;"-10,7%";"-57,5%";"-38,7%"
"1438";"Sdiptech";"Sverige";"SDIP B";"Industri";"7558,9";"-232,0";;"1,11";"1,8";"23,8";"2,1";"63,9";"-0,8%";"-0,4%";"59,9%";"8,7%";"-0,6%";"5";"2,1";"14,0%";"2,8";"-0,9%";"5,3%";"-6,3%"
"1113";"Sea1 Offshore";"Norge";"SEA1";"Energi";"4705,0";"4,0";"-0,3";"1,48";"1,1";"4,7";"2,4";"2,9";"26,4%";"18,7%";"64,9%";"52,0%";"41,9%";"6";"1,5";"-0,3%";"1,1";"33,4%";"34,9%";"49,0%"
"1552";"Seafire";"Sverige";"SEAF";"Finans & Fastighet";"341,9";"-85,4";;"0,86";"0,6";"105,8";"0,6";"7,0";"-0,7%";"-0,5%";"48,0%";"0,5%";"-0,4%";;"1,2";"1,1%";"3,0";"10,8%";"23,1%";"48,9%"
"1492";"Seamless Distribution Systems";"Sverige";"SDS";"Informationsteknik";"193,3";"-1,5";;"0,97";"40,2";"-4,9";"2,4";"-5,8";"-2657,8%";"-44,6%";"57,1%";"-47,8%";"-66,4%";"1";"2,0";"-11,3%";"-9,3";"-19,2%";"29,0%";"3,2%"
"1399";"SeaTwirl";"Sverige";"STW";"Kraftförsörjning";"122,1";"-4,0";;"0,95";"1,2";"-1,1";"840,4";"3,0";"-30,8%";"-223,6%";"-14890,7%";"-73346,5%";"-71504,6%";"3";"1,2";;;"-38,7%";"-41,5%";"213,8%"
"199";"SEB A";"Sverige";"SEB A";"Finans & Fastighet";"369626,0";"11,6";"-1,1";"0,97";"1,6";"9,6";"4,8";"11,2";"13,5%";"0,9%";"72,6%";"50,6%";"40,4%";;;"6,0%";;"-6,1%";"-0,8%";"3,9%"
"200";"Sectra";"Sverige";"SECT B";"Hälsovård";"45112,0";"82,9";"-9,1";"0,62";"23,1";"61,8";"12,7";"67,1";"27,8%";"74,2%";"86,0%";"20,5%";"15,7%";"6";"1,6";"13,3%";"-1,5";"-8,7%";"-28,9%";"-7,3%"
"201";"Securitas";"Sverige";"SECU B";"Industri";"87700,5";"17,1";"-20,2";"0,65";"2,2";"13,1";"0,8";"12,7";"13,1%";"7,0%";"21,4%";"5,8%";"3,3%";"8";"1,4";"5,2%";"2,5";"4,6%";"8,3%";"2,7%"
"1111";"SED Energy";"Norge";"ENH";"Energi";"6537,7";"22,4";"-0,5";"0,82";"1,9";"11,0";"3,3";"10,3";"8,6%";"7,5%";"61,3%";"29,9%";"13,7%";"6";"1,6";"116,3%";"0,5";"10,2%";"-1,1%";"52,3%"
"1487";"Sedana Medical";"Sverige";"SEDANA";"Hälsovård";"864,2";"-14,5";;"1,20";"1,0";"-24,2";"3,9";"-11,4";"-6,6%";"-7,3%";"71,3%";"-16,1%";"-29,6%";"3";"3,4";"17,7%";;"-16,3%";"-33,6%";"-45,6%"
"2567";"SEHED Byggmästargruppen";"Sverige";"SEHED B";"Industri";"701,5";"9,4";"1,4";"0,26";"1,8";"5,5";"0,3";"13,4";"18,9%";"33,4%";"28,5%";"5,2%";"4,3%";"6";"1,3";;"-1,8";"10,1%";"14,2%";"33,3%"
"1109";"Selvaag Bolig";"Norge";"SBO";"Finans & Fastighet";"3283,7";"24,0";"-1,0";"0,29";"1,3";"41,6";"2,6";"-2,6";"5,5%";"3,4%";"15,9%";"6,3%";"6,6%";;"2,0";"-10,9%";"15,6";"-3,3%";"-8,7%";"-2,6%"
"531";"SensoDetect";"Sverige";"SDET";"Hälsovård";"21,7";"-2,2";;"-0,08";"1,7";"-2,1";"8,5";"-3,3";"-75,7%";"-85,2%";"99,2%";"-402,5%";"-422,9%";"2";"1,1";;;"-69,4%";"-91,3%";"-73,1%"
"203";"Sensys Gatso";"Sverige";"SGG";"Informationsteknik";"416,2";"-86,0";;"0,52";"0,7";"10,8";"0,9";"14,6";"-0,8%";"-0,6%";"41,6%";"8,0%";"-0,7%";"5";"3,3";"13,3%";"1,9";"-9,1%";"-15,1%";"-17,7%"
"2583";"Sentia";"Norge";"SNTIA";"Industri";"7270,8";"12,3";"0,6";;"4,2";"5,1";"0,2";"1,7";"33,2%";"-22,4%";"22,0%";"4,9%";"4,8%";"6";"1,1";"4,2%";"-6,0";"17,3%";"2,6%";
"1523";"SenzaGen";"Sverige";"SENZA";"Hälsovård";"151,5";"-11,9";;"0,86";"1,8";"-9,5";"1,9";"-11,2";"-14,9%";"-17,5%";"64,8%";"-20,1%";"-20,0%";"1";"2,3";"11,5%";;"-23,1%";"-22,6%";"-13,7%"
"569";"Senzime";"Sverige";"SEZI";"Hälsovård";"685,5";"-4,7";;"0,71";"2,3";"-5,1";"6,0";"-5,4";"-45,1%";"-52,4%";"33,4%";"-117,8%";"-132,1%";"2";"3,8";"95,0%";;"-18,5%";"-32,0%";"-21,2%"
"479";"Serstech";"Sverige";"SERT";"Industri";"86,5";"-3,0";;"0,57";"1,8";"-2,6";"2,0";"-2,3";"-61,1%";"-74,3%";"13,0%";"-75,8%";"-75,6%";"1";"3,0";"31,1%";;"-44,4%";"-36,0%";"-60,9%"
"538";"Servana";"Sverige";"SERV";"Hälsovård";"24,7";"-8,5";;"0,14";"74,3";"-7,7";"513,1";"601,6";"-961,4%";"-233,8%";"90,0%";"-6658,3%";"-6650,0%";"2";"1,0";"-71,5%";;"54,5%";"41,7%";"41,7%"
"342";"ShaMaran";"Sverige";"SNM";"Energi";"3879,9";"15,7";"-0,2";"0,22";"1,7";"10,5";"3,3";"6,7";"10,7%";"6,9%";"42,0%";"31,6%";"17,3%";"6";"4,7";"-4,3%";"0,9";"-15,1%";"-18,3%";"-8,9%"
"1944";"Shape Robotics";"Danmark";"SHAPE";"Informationsteknik";"110,7";"4,3";"0,0";"1,14";"0,3";"6,7";"0,7";"-0,5";"6,1%";"5,2%";"39,1%";"10,9%";"4,1%";"2";"1,2";"55,0%";"3,6";"75,4%";"-71,4%";"-75,6%"
"2303";"SHT Smart High-Tech";"Sverige";"SHT B";"Informationsteknik";"354,2";"-5,0";;"0,48";"4,0";"-4,2";"41,6";"-2,2";"-79,8%";"-113,7%";"121,5%";"-987,0%";"-979,3%";"2";"3,5";"64,0%";;"-26,5%";"-33,4%";"-29,9%"
"2517";"Sibek";"Sverige";"SIBEK";"Industri";"416,3";"18,0";"-5,4";"0,31";"7,2";"13,1";"2,1";"24,6";"39,9%";"131,4%";"77,2%";"16,0%";"12,9%";"3";"3,2";"14,8%";"-1,4";"3,8%";"-14,4%";"7,6%"
"997";"Siili Solutions";"Finland";"SIILI";"Informationsteknik";"341,0";"32,5";"-0,4";"0,46";"0,8";"296,5";"0,3";"-8,0";"2,3%";"2,6%";"79,3%";"0,1%";"0,9%";"6";"1,1";"-3,0%";"0,5";"-17,3%";"-24,7%";"-38,3%"
"2359";"Siljansvik";"Sverige";"SIVI";"Kraftförsörjning";"1457,6";"21,8";"-0,2";"0,21";"0,7";"16,5";"14,0";"1,4";"3,2%";"4,7%";;"84,9%";"156,4%";"2";"47,0";"-49,9%";"-17,0";"18,8%";"17,0%";"-4,5%"
"1054";"Simris Alg";"Sverige";"SIMRIS B";"Dagligvaror";"161,3";"-6,0";;"0,75";"-343,2";"-5,4";"99,0";"-9,9";;"-22,0%";"71,5%";"-1830,5%";"-1660,1%";"2";"0,7";"-26,6%";;"139,0%";"-14,6%";"0,0%"
"908";"Sinch";"Sverige";"SINCH";"Informationsteknik";"17340,1";"83,2";"0,8";"1,16";"0,8";"28,5";"0,9";"12,5";"1,0%";"0,7%";"34,8%";"3,2%";"0,8%";"6";"0,8";"-0,8%";"2,0";"-28,2%";"-29,6%";"-2,1%"
"206";"SinterCast";"Sverige";"SINT";"Industri";"627,6";"25,4";"-0,9";"0,38";"8,2";"18,9";"5,7";"18,1";"32,3%";"34,5%";"70,4%";"30,4%";"22,8%";"7";"4,7";"-3,1%";"-0,1";"-12,5%";"-20,0%";"-16,2%"
"2111";"Sitowise Group";"Finland";"SITOWS";"Industri";"995,7";"-2,1";;"0,13";"1,2";"-3,6";"0,7";"7,0";"-55,2%";"-29,9%";"88,8%";"-19,9%";"-22,5%";"4";"1,1";"-2,7%";"3,2";"1,2%";"1,2%";"-1,6%"
"489";"Sivers Semiconductors";"Sverige";"SIVE";"Informationsteknik";"3144,5";"-14,6";;"1,34";"2,9";"-22,9";"10,6";"-28,1";"-17,3%";"-15,9%";"68,6%";"-46,5%";"-61,3%";"3";"1,2";"31,9%";"-1,7";"157,9%";"181,7%";"145,4%"
"985";"Sjöstrand Coffee";"Sverige";"SCC B";"Sällanköpsvaror";"20,3";"-5,0";;"0,81";"18,4";"-5,5";"0,5";"-4,7";"-366,1%";"-379,9%";;"-9,2%";"-10,4%";"2";"1,0";"13,8%";;"-1,6%";"-29,4%";"-1,4%"
"1283";"SKAKO";"Danmark";"SKAKO";"Industri";"269,4";"30,2";"-0,4";"0,25";"2,2";"11,1";"0,8";"15,2";"7,2%";"12,1%";"29,3%";"7,0%";"2,3%";"5";"1,2";"-16,7%";"1,2";"9,7%";"-7,2%";"-24,3%"
"2095";"Skandia GreenPower";"Norge";"SKAND";"Kraftförsörjning";"197,0";"12,4";"-1,4";"-0,19";"1,9";"-8,9";"0,3";"9,2";"15,3%";"22,6%";"12,3%";"-3,8%";"3,4%";"5";"0,9";"-6,5%";"-38,1";"-10,4%";"-9,1%";"64,6%"
"207";"Skanska";"Sverige";"SKA B";"Industri";"103212,2";"17,7";"6,1";"0,94";"1,6";"13,0";"0,5";"-4034,3";"9,2%";"8,6%";"8,4%";"3,7%";"3,2%";"7";"1,5";"2,7%";"-1,9";"-1,7%";"2,5%";"0,7%"
"208";"SKF B";"Sverige";"SKF B";"Industri";"97536,2";"24,8";"-0,6";"1,17";"1,8";"14,1";"1,2";"14,2";"7,1%";"5,5%";"26,8%";"8,5%";"4,3%";"6";"2,1";"-1,9%";"1,0";"-11,5%";"-9,4%";"-7,0%"
"209";"SkiStar";"Sverige";"SKIS B";"Sällanköpsvaror";"12579,3";"20,3";"1,8";"0,57";"2,9";"17,5";"3,1";"23,2";"14,3%";"8,9%";"75,3%";"17,8%";"12,8%";"7";"0,7";"4,3%";"1,8";"-4,3%";"0,8%";"-3,2%"
"1284";"Skjern Bank";"Danmark";"SKJE";"Finans & Fastighet";"3952,1";"10,6";"-1,1";"0,60";"1,3";"7,6";"6,5";;"12,4%";"2,2%";"19,4%";"85,2%";"61,0%";;;"-4,5%";;"0,6%";"14,8%";"35,1%"
"2398";"Skolon";"Sverige";"SKOLON";"Informationsteknik";"546,8";"-93,6";;"0,23";"72,9";"-103,3";"2,6";"162,2";"-78,7%";;"25,0%";"-2,5%";"-3,0%";"3";"0,9";"47,6%";"-41,7";"-34,6%";"-35,6%";"-33,1%"
"2428";"Skue Sparebank";"Norge";"SKUE";"Finans & Fastighet";"2062,5";"15,6";"-0,5";"0,42";"1,0";"10,3";"7,2";"3,5";"7,5%";"1,1%";"94,1%";"69,8%";"53,9%";;;"19,5%";;"2,5%";"7,9%";"-3,5%"
"344";"Skåne-möllan";"Sverige";"SKMO";"Dagligvaror";"572,0";"51,5";"-1,6";"-0,40";"3,6";"38,8";"2,1";"25,5";"7,0%";"10,9%";"16,5%";"5,5%";"4,7%";"5";"7,7";"-4,6%";"-3,4";"-13,0%";"-20,0%";"0,0%"
"2184";"Sleep Cycle";"Sverige";"SLEEP";"Hälsovård";"357,7";"6,7";"-0,4";"0,47";"5,0";"3,7";"1,0";"9,0";"74,1%";"-118,7%";"79,5%";"26,6%";"21,5%";"6";"1,4";"5,1%";"-1,6";"-31,2%";"-32,2%";"-61,2%"
"517";"Slottsviken B";"Sverige";"SLOTT B";"Finans & Fastighet";"56,0";"20,1";"559,8";"-0,58";"1,2";"27,7";"8,2";"-7,2";"5,7%";"2,6%";"77,7%";"29,6%";"21,3%";;"0,5";"24,5%";"9,3";"-26,7%";"-32,4%";"-27,8%"
"1390";"Smart Eye";"Sverige";"SEYE";"Informationsteknik";"2073,1";"-11,8";;"0,68";"1,6";"-11,7";"4,7";"-13,0";"-13,3%";"-10,9%";"86,9%";"-40,5%";"-42,8%";"2";"2,0";"22,5%";;"-25,2%";"-34,2%";"1,5%"
"2224";"SmartCraft";"Norge";"SMCRT";"Informationsteknik";"3268,4";"37,2";"-1,9";"0,11";"3,3";"28,2";"5,5";"34,2";"8,8%";"9,5%";"92,0%";"19,4%";"15,2%";"7";"1,0";"18,8%";"-0,6";"-26,0%";"-31,7%";"-27,7%"
"2180";"Smartoptics";"Norge";"SMOP";"Telekommunikation";"4090,0";"84,0";"5,2";"0,38";"13,0";"57,0";"5,1";"70,2";"15,5%";"16,3%";"47,8%";"9,0%";"6,2%";"8";"2,4";"9,0%";"-0,7";"42,1%";"68,8%";"84,9%"
"1669";"Smoltek";"Sverige";"SMOL";"Informationsteknik";"90,2";"-1,8";;"0,77";"1,5";"-3,1";"117,9";"-2,6";"-49,0%";"-43,0%";"-3114,2%";"-3785,4%";"-4119,6%";"1";"1,3";"-31,2%";;"38,6%";"-4,0%";"10,9%"
"1904";"Sociallite US";"Sverige";"SOCIAL";"Sällanköpsvaror";"9,5";"-0,3";;"1,57";"155,0";"9,8";"6,0";"-98,5";"-46431,1%";"-48005,1%";"128,5%";"60,9%";"-1788,1%";"3";"1,1";"-55,4%";"-0,0";"-34,8%";"199,6%";"45,5%"
"1707";"SoftOx Solutions";"Norge";"SOFTX";"Hälsovård";"178,4";"-12,9";;"-0,53";"1,4";"-13,8";"8,5";"-5,3";"-10,5%";"-13,1%";"59,1%";"-61,6%";"-77,4%";"5";"1,2";"24,1%";;"15,7%";"-18,4%";"112,9%"
"210";"Softronic";"Sverige";"SOF B";"Informationsteknik";"1105,3";"16,5";"-0,9";"0,37";"3,8";"14,1";"1,3";"18,4";"22,9%";"34,1%";"65,7%";"9,1%";"7,3%";"5";"1,9";"4,7%";"0,6";"-2,1%";"-7,9%";"-8,7%"
"2587";"SoftwareOne";"Norge";"SWON";"Informationsteknik";"18036,7";;;;;;;;;;;;;"1";;;;"-30,9%";"-27,4%";
"2421";"Sogn Sparebank";"Norge";"SOGN";"Finans & Fastighet";"200,5";"13,6";"3,7";"0,17";"1,2";"10,8";"8,2";"8,6";"8,6%";"1,4%";"110,4%";"76,1%";"60,3%";;;"11,7%";;"11,2%";"17,8%";"33,6%"
"2549";"Soiltech";"Norge";"STECH";"Industri";"703,6";"19,6";"0,1";"0,24";"2,8";"15,0";"2,2";"46,9";"13,1%";"7,4%";"79,7%";"14,9%";"8,0%";"6";"1,5";"31,0%";"2,4";"15,7%";"14,4%";"47,2%"
"1205";"Solar";"Danmark";"SOLAR B";"Industri";"2267,9";"18,7";"-0,4";"0,77";"0,7";"19,3";"0,2";"-5,7";"3,7%";"2,5%";"20,4%";"1,3%";"0,6%";"4";"1,2";"-4,2%";"3,2";"-1,8%";"-12,3%";"-26,0%"
"2550";"Solar Foods";"Finland";"SFOODS";"Dagligvaror";"1474,4";;;"0,39";;;;;;;;;;"1";;;;"-6,3%";"-19,9%";"-15,0%"
"2328";"Solid Försäkring";"Sverige";"SFAB";"Finans & Fastighet";"1954,2";"13,0";"-1,7";"0,60";"3,6";"10,3";"1,8";"32,2";"27,9%";"10,8%";"74,2%";"17,7%";"14,0%";;;"-1,1%";;"31,5%";"46,5%";"28,6%"
"2300";"SolidX";"Sverige";"SOLIDX";"Informationsteknik";"89,9";"62,0";"0,5";"0,30";"2,7";"31,9";"0,7";"41,4";"4,3%";"4,6%";"101,3%";"2,1%";"1,1%";"5";"1,1";"10,4%";"0,2";"-10,7%";"37,4%";"-3,8%"
"1368";"Solnaberg";"Sverige";"SOLNA";"Finans & Fastighet";"428,6";"13,4";"0,5";"0,11";"0,7";"23,3";"11,3";"11,3";"5,2%";"2,5%";"75,7%";"48,4%";"38,5%";;"1,1";"9,0%";"12,7";"-5,0%";"-6,6%";"0,0%"
"2584";"Solstad Maritime";"Norge";"SOMA";"Energi";"12630,1";;;;;;;;;;;;;"1";;;;"52,1%";"7,3%";
"1114";"Solstad Offshore";"Norge";"SOFF";"Energi";"5182,3";"3,5";"0,0";"0,84";"1,2";"8,5";"2,8";"3,0";"33,2%";"21,8%";"56,9%";"32,4%";"48,6%";"7";"1,1";"-22,8%";"2,1";"44,3%";"12,3%";"70,1%"
"763";"SolTech Energy";"Sverige";"SOLT";"Kraftförsörjning";"104,0";"-0,1";;"0,45";"0,1";"-1,1";"0,3";"-0,3";"-105,4%";"-57,8%";"44,1%";"-26,2%";"-29,0%";;"1,1";"-4,0%";"-2,8";"-50,0%";"-89,5%";"-97,6%"
"807";"Solteq";"Finland";"SOLTEQ";"Informationsteknik";"84,7";"-5,5";;"0,40";"0,5";"40,4";"0,7";"-4,2";"-9,3%";"-9,6%";"88,1%";"1,6%";"-2,9%";"2";"0,2";"-11,9%";"11,0";"-4,6%";"-33,0%";"-40,0%"
"1601";"Solution International";"Sverige";"SIN";"Hälsovård";"124,1";"-77,8";;"1,13";"-7,3";"131,2";"1,2";"-1107,9";;;"31,0%";"0,9%";"-1,4%";"3";"0,7";"538,0%";"2,8";"-21,7%";"22,7%";"90,5%"
"2214";"Solwers";"Finland";"SOLWERS";"Industri";"238,1";"-22,3";;"0,49";"0,5";"70,3";"0,6";"-2,5";"-2,3%";"-1,4%";"89,8%";"0,9%";"-1,2%";"4";"1,3";"8,7%";"5,3";"-1,4%";"-10,3%";"-15,0%"
"1433";"Sonetel";"Sverige";"SONE";"Informationsteknik";"42,4";"-28,2";;"-0,10";"1,4";"56,6";"1,1";"-7,6";"-5,1%";"-4,3%";"62,9%";"2,0%";"-3,4%";"6";"0,3";"27,5%";"0,6";"-17,0%";"-31,3%";"19,7%"
"572";"Sotkamo Silver";"Sverige";"SOSI";"Material";"1100,6";"-20,1";;"0,97";"4,4";"143,7";"3,2";"-35,0";"-21,7%";"-12,6%";"43,5%";"2,2%";"-13,4%";"4";"0,6";"2,0%";"2,5";"127,0%";"239,5%";"188,0%"
"787";"Sotkamo Silver";"Finland";"SOSI1";"Material";"1152,4";"-20,4";;"0,69";"4,4";"145,2";"3,2";"-35,4";"-21,7%";"-12,6%";"43,5%";"2,2%";"-13,4%";"4";"0,6";"2,0%";"2,5";"135,9%";"262,9%";"194,4%"
"2273";"Sound Dimension";"Sverige";"SOUND";"Informationsteknik";"54,9";"-5,0";;"-7,39";"9,8";"-5,1";"75,4";"-5,7";"-194,7%";;"-520,9%";"-1488,2%";"-1669,0%";"2";"3,5";"32,5%";;"-33,8%";"-45,4%";"991,9%"
"1286";"SP Group";"Danmark";"SPG";"Material";"6629,3";"17,7";"-6,6";"0,91";"2,5";"13,9";"1,8";"17,8";"13,9%";"10,9%";"49,4%";"12,6%";"8,5%";"6";"1,7";"2,4%";"1,3";"8,8%";"25,3%";"6,0%"
"486";"Spago Nanomedical";"Sverige";"SPAGO";"Hälsovård";"70,8";"-2,7";;"0,74";"2,3";"-1,5";"94,1";"-2,6";"-86,4%";"-1439,2%";"-1523,8%";"-6165,7%";"-6076,4%";"1";"7,0";"-25,4%";;"1,9%";"-49,0%";"-51,4%"
"2435";"Sparebank 1 Helgeland";"Norge";"HELG";"Finans & Fastighet";"4661,5";"12,0";"-0,9";"0,10";"1,1";"9,0";"6,3";"61,1";"9,3%";"1,2%";"107,9%";"69,7%";"54,1%";;;"6,0%";;"-8,4%";"-5,5%";"-1,4%"
"2439";"Sparebank 1 Nordmore";"Norge";"SNOR";"Finans & Fastighet";"1730,5";"9,8";"61,7";"0,57";"1,0";"7,4";"4,2";"48,8";"10,3%";"1,6%";"77,0%";"56,5%";"42,7%";;;"11,5%";;"3,6%";"7,8%";"7,2%"
"2422";"Sparebank 1 Nord-Norge";"Norge";"NONG";"Finans & Fastighet";"16266,4";"10,3";"-1,7";"0,64";"1,7";"8,2";"5,4";"32,8";"16,4%";"2,4%";"82,2%";"66,2%";"53,0%";;;"16,7%";;"6,0%";"10,9%";"13,8%"
"2436";"Sparebank 1 Ostfold Akershus";"Norge";"SOAG";"Finans & Fastighet";"5742,3";"9,1";"12,8";"-0,08";"1,1";"7,5";"4,3";"7,5";"12,5%";"2,1%";"75,5%";"57,9%";"47,7%";;;"11,7%";;"-1,5%";"2,5%";"1,8%"
"2438";"Sparebank 1 Ostlandet";"Norge";"SPOL";"Finans & Fastighet";"28785,0";"11,3";"-2,5";"0,47";"1,4";"8,9";"5,0";"5,3";"12,1%";"1,6%";"78,9%";"55,9%";"44,1%";;;"19,9%";;"2,2%";"9,4%";"20,1%"
"2433";"Sparebank 1 Ringerike Hadeland";"Norge";"RING";"Finans & Fastighet";"7680,9";"10,2";"1,4";"0,43";"1,3";"8,2";"5,2";"6,8";"13,3%";"2,2%";"78,5%";"62,6%";"50,8%";;;"15,0%";;"18,4%";"20,6%";"22,5%"
"2432";"Sparebank 1 SMN";"Norge";"MING";"Finans & Fastighet";"31052,8";"11,0";"-2,2";"0,47";"1,5";"8,8";"5,3";"4,9";"13,7%";"1,8%";"77,0%";"60,1%";"48,2%";;;"16,3%";;"4,3%";"9,6%";"10,9%"
"1116";"SpareBank 1 Sor-Norge";"Norge";"SB1NO";"Finans & Fastighet";"78310,7";"11,9";"-1,0";"0,57";"1,4";"9,1";"5,4";"6,9";"11,5%";"1,2%";"77,2%";"59,5%";"45,3%";;;"25,9%";;"3,3%";"12,8%";"22,0%"
"2267";"Sparebank 68 grader nord";"Norge";"SB68";"Finans & Fastighet";"691,9";"14,8";"-2,2";"0,00";"1,2";"10,6";"6,3";"-62,8";"8,4%";"1,1%";"92,7%";"59,4%";"45,0%";;;"9,0%";;"15,1%";"20,7%";"21,3%"
"2431";"Sparebanken More";"Norge";"MORG";"Finans & Fastighet";"5964,0";"12,2";"-3,2";"0,15";"1,3";"8,8";"5,0";"-4,4";"10,3%";"0,9%";"77,5%";"56,5%";"40,6%";;;"10,8%";;"4,8%";"7,8%";"11,8%"
"2423";"Sparebanken Norge";"Norge";"SBNOR";"Finans & Fastighet";"35482,9";"11,8";"14,1";"0,62";"1,2";"8,1";"5,5";"-2,6";"11,3%";"1,1%";"76,0%";"67,6%";"51,8%";;;"31,8%";;"2,7%";"13,7%";"34,3%"
"2430";"Sparebanken Ost";"Norge";"SPOG";"Finans & Fastighet";"1795,8";"12,3";"55,6";"0,38";"1,2";"9,4";"7,0";"17,8";"9,8%";"1,1%";"96,1%";"74,7%";"57,0%";;;"8,1%";;"9,0%";"13,2%";"3,8%"
"1206";"Sparekassen Sjaelland-Fyn";"Danmark";"SPKSJF";"Finans & Fastighet";"7506,0";"8,8";"4,9";"0,53";"1,0";"6,6";"3,1";"-10,9";"11,9%";"2,0%";"42,5%";"46,7%";"37,0%";;;"7,3%";;"-19,1%";"-14,9%";"7,5%"
"785";"SpectraCure";"Sverige";"SPEC";"Hälsovård";"50,7";"-0,6";;"0,55";"0,4";"-0,5";;"-0,8";"-59,9%";"-69,9%";;;;"1";"1,5";;;"-47,6%";"-64,4%";"-95,5%"
"765";"SpectrumOne";"Sverige";"SPEONE";"Sällanköpsvaror";"58,8";"-1,8";;"0,66";"0,6";"-5,9";"16,4";"-2,3";"-30,7%";"-25,4%";"172,3%";"-279,2%";"-926,0%";"1";"0,2";"-63,8%";"-0,2";"-0,3%";"-14,4%";"-36,9%"
"2138";"Spermosens";"Sverige";"SPERM";"Hälsovård";"28,6";"-3,0";;"0,16";"0,8";"-2,1";;"-3,7";"-27,7%";"-37,5%";;;;"2";"9,3";;;"45,2%";"15,4%";"-4,3%"
"2294";"Spiltan Invest";"Sverige";"SPLTN";"Finans & Fastighet";"5064,4";"-19,0";;"0,49";"0,6";"-17,9";;"24,6";"-3,1%";"-3,2%";;;;;"0,4";;"-0,1";"-13,2%";"-19,1%";"-17,6%"
"2223";"Spinnova";"Finland";"SPINN";"Sällanköpsvaror";"251,7";"-0,6";;"0,61";"0,7";"-0,1";"12,4";"6,1";"-133,2%";"-80,7%";"858,4%";"-12016,9%";"-11829,7%";"2";"8,9";"-75,8%";;"-8,6%";"-31,9%";"-2,2%"
"1967";"Spotlight Group";"Sverige";"SPGR";"Finans & Fastighet";"99,7";"30,0";"0,5";"0,32";"1,9";"25,6";"0,9";"7,3";"6,3%";"3,2%";"32,1%";"3,4%";"2,9%";;;"-10,0%";;"-6,3%";"-9,3%";"-20,7%"
"1396";"Spotr Group";"Sverige";"SPOTR";"Informationsteknik";"10,2";"-1,2";;"-0,69";"0,5";"-1,3";"3,7";"-1,0";"-45,9%";"-45,9%";"-173,0%";"-287,5%";"-302,8%";"1";"9,9";"-29,0%";"-0,0";"-24,9%";"-34,9%";"-68,2%"
