"Börsdata ID";"Bolagsnamn";"Info - Land";"Info - Ticker";"Info - Sektor";"Börsvärde - Senaste SEK";"P/E - Senaste";"PEG - Senaste";"Beta - 1år";"P/B - Senaste";"EV/EBIT - Senaste";"EV/S - Senaste";"P/FCF - Senaste";"ROE - Senaste";"ROIC - Senaste";"Bruttomarg - Senaste";"EBIT-marg - Senaste";"Vinstmarg - Senaste";"F-Score - Poäng";"Balanslik. - Senaste";"Omsätt. tillv. - År. tillv. 3år";"N.skuld/Ebitda - Senaste";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år"
"2152";"Alexandria Group";"Finland";"ALEX";"Finans & Fastighet";"1264,6";"14,5";"-1,2";"0,52";"6,6";"10,1";"2,1";"9,0";"45,6%";"14,3%";"61,1%";"20,6%";"14,4%";;;"12,4%";;"1,0%";"-3,8%";"10,9%"
"10";"Alfa Laval";"Sverige";"ALFA";"Industri";"212284,2";"25,7";"2,2";"1,00";"4,9";"19,2";"3,2";"-77,3";"18,9%";"15,1%";"36,2%";"16,9%";"11,9%";"6";"1,2";"10,1%";"0,9";"11,5%";"19,3%";"13,2%"
"739";"Alimak";"Sverige";"ALIG";"Industri";"11790,0";"19,2";"-6,3";"1,01";"1,6";"14,3";"2,0";"19,8";"8,4%";"5,8%";"40,1%";"14,2%";"8,8%";"9";"2,4";"15,1%";"1,8";"-22,8%";"-31,9%";"-22,4%"
"930";"Alisa Pankki";"Finland";"ALISA";"Finans & Fastighet";"277,3";"-11,8";;"0,46";"0,7";"-11,8";"1,7";"-0,4";"-6,1%";"-2,2%";"53,8%";"-14,0%";"-14,1%";;;"13,4%";;"-30,4%";"0,3%";"-14,9%"
"1187";"ALK-Abello";"Danmark";"ALK B";"Hälsovård";"69648,1";"38,3";"0,8";"0,59";"7,2";"27,6";"7,2";"32,2";"18,6%";"18,4%";"67,1%";"26,2%";"19,0%";"8";"3,4";"11,8%";"-0,3";"-8,7%";"-2,3%";"43,0%"
"2413";"Alleima";"Sverige";"ALLEI";"Industri";"18226,2";"27,1";"-0,6";"1,13";"1,1";"18,5";"0,9";"23,4";"4,1%";"4,1%";"18,5%";"5,0%";"3,6%";"7";"2,8";"0,4%";"-0,4";"-9,3%";"3,0%";"-19,1%"
"1385";"Alligator Bioscience";"Sverige";"ATORX";"Hälsovård";"100,2";"-0,1";;"0,64";"1,2";"0,2";"-37,3";"-0,1";"-748,7%";;"-13827,6%";"-20588,7%";"-9990,3%";"2";"0,9";"-75,7%";;"-32,1%";"-95,4%";"-97,6%"
"1477";"Alligo";"Sverige";"ALLIGO B";"Industri";"6424,3";"24,2";"-5,1";"0,70";"1,7";"20,2";"1,0";"16,0";"6,9%";"3,7%";"42,0%";"4,9%";"2,7%";"6";"2,0";"1,2%";"2,9";"3,4%";"17,1%";"-8,4%"
"364";"ALM Equity";"Sverige";"ALM";"Finans & Fastighet";"1586,9";"-3,5";;"0,27";"0,4";"-14,1";"1,3";"138,0";"-10,1%";"-9,1%";"100,0%";"-9,4%";"-24,2%";;"2,0";"-47,7%";"-5,2";"-3,4%";"-4,4%";"-54,1%"
"1188";"Alm. Brand";"Danmark";"ALMB";"Finans & Fastighet";"35170,3";"18,3";"0,2";"0,37";"2,0";"15,6";"1,9";"8,2";"10,9%";"4,3%";"15,0%";"12,0%";"10,2%";;;"14,0%";;"-11,7%";"-12,7%";"-4,5%"
"714";"Alma Media";"Finland";"ALMA";"Sällanköpsvaror";"11856,6";"19,1";"3,2";"0,52";"4,3";"15,2";"3,6";"18,2";"22,2%";"14,2%";"89,8%";"23,8%";"16,9%";"8";"0,7";"1,9%";"1,3";"-4,8%";"-13,2%";"8,0%"
"2311";"Alpcot";"Sverige";"ALPCOT B";"Finans & Fastighet";"203,7";"40,2";"0,3";"0,17";"2,1";"40,1";"2,1";"24,2";"5,2%";"4,2%";"25,3%";"5,3%";"5,3%";;;"0,8%";;"-4,7%";"-17,7%";"5,7%"
"2580";"Alvotech SDB";"Sverige";"ALVO SDB";"Hälsovård";"11955,6";"17,1";;;"-6,7";"56,0";"6,4";"-8,2";"-39,3%";"6,5%";"83,3%";"11,3%";"18,2%";"4";"1,4";;"15,7";"-25,6%";"-53,5%";
"1752";"AlzeCure Pharma";"Sverige";"ALZCUR";"Hälsovård";"197,1";"-3,6";;"-0,27";"5,2";"-2,5";;"-5,0";"-144,8%";;;;;;"2,3";;;"-19,1%";"-41,9%";"-42,4%"
"916";"Alzinova";"Sverige";"ALZ";"Hälsovård";"91,6";"-2,3";;"0,59";"0,5";"-2,3";;"-1,2";"-21,1%";"-21,0%";;;;;"0,2";;;"-60,2%";"-48,5%";"-77,6%"
"1419";"Ambea";"Sverige";"AMBEA";"Hälsovård";"11151,8";"16,6";"1,6";"0,59";"2,1";"17,1";"1,5";"14,2";"12,8%";"4,2%";"96,5%";"8,6%";"4,1%";"5";"0,4";"8,3%";"4,3";"-6,4%";"-0,8%";"19,7%"
"1189";"Ambu";"Danmark";"AMBU B";"Hälsovård";"28078,1";"34,2";"0,5";"0,86";"3,1";"26,1";"3,0";"53,0";"9,0%";"9,4%";"60,1%";"11,6%";"8,9%";"9";"2,9";"8,4%";"-0,2";"-21,3%";"-29,9%";"-44,0%"
"501";"Amhult 2";"Sverige";"AMH2 B";"Finans & Fastighet";"397,2";"12,5";"0,2";"0,46";"0,5";"32,0";"13,0";"77,0";"3,6%";"1,7%";"82,2%";"40,7%";"32,4%";;"0,4";"10,1%";"22,1";"-3,3%";"-7,2%";"0,9%"
"1891";"Amido";"Sverige";"AMIDO";"Industri";"113,4";"-8,8";;"-0,37";"4,8";"-8,0";"2,6";"283,5";"-54,4%";"-110,6%";"91,6%";"-32,6%";"-33,3%";"4";"1,5";"24,1%";"-2,8";"-23,2%";"-17,6%";"-4,5%"
"1950";"Andfjord Salmon";"Norge";"ANDF";"Dagligvaror";"3080,3";"-18,2";;"0,14";"1,3";"-38,5";"5073,9";"-1,5";"-6,9%";"-4,3%";"-70,2%";"-13165,8%";"-18545,9%";"2";"0,4";;"-16,6";"8,1%";"-14,7%";"-19,1%"
"492";"Angler Gaming";"Sverige";"ANGL";"Sällanköpsvaror";"240,0";"4,9";"0,1";"0,09";"1,8";"3,4";"0,7";"25,9";"36,3%";"40,3%";"45,4%";"20,2%";"14,8%";"6";"3,7";"-0,9%";"-0,2";"7,7%";"0,6%";"-16,9%"
